,BusNum,ShuntID,SSStatus,SSCMode,SSNMW,SSNMVR,SVCSTSV,ShuntID:2,AreaNum,ZoneNum,BANumber,OwnerNum,OwnPercent,OwnerNum:1,OwnPercent:1,OwnerNum:2,OwnPercent:2,OwnerNum:3,OwnPercent:3,EMSType,EMSDeviceID,DataMaintainerAssign,AllLabels
0,10001,1,Closed,Discrete,0.00000000000000000000,0.00000000000000000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
1,10020,1,Closed,Discrete,0.00000000000000000000,31.99999928474426270000,NO ,1,1,1,1,100.000,,,,,,,,,,,
2,10061,1,Closed,Discrete,0.00000000000000000000,21.99999988079071040000,NO ,1,1,1,1,100.000,,,,,,,,,,,
3,10131,1,Closed,Discrete,0.00000000000000000000,0.00000000000000000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
4,10157,1,Closed,Discrete,0.00000000000000000000,80.00000119209289550000,NO ,1,1,1,1,100.000,,,,,,,,,,,
5,10218,1,Closed,Discrete,0.00000000000000000000,90.00000357627868650000,NO ,1,1,1,1,100.000,,,,,,,,,,,
6,10228,1,Closed,Discrete,0.00000000000000000000,0.00000000000000000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
7,10229,1,Closed,Discrete,0.00000000000000000000,50.00000000000000000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
8,10242,1,Closed,Discrete,0.00000000000000000000,60.00000238418579100000,NO ,1,1,1,1,100.000,,,,,,,,,,,
9,10302,1,Closed,Discrete,0.00000000000000000000,50.00000000000000000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
10,10314,1,Closed,Discrete,0.00000000000000000000,93.50000023841857910000,NO ,1,1,1,1,100.000,,,,,,,,,,,
11,10354,1,Closed,Discrete,0.00000000000000000000,100.00000000000000000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
12,10398,1,Closed,Discrete,0.00000000000000000000,60.00000238418579100000,NO ,1,1,1,1,100.000,,,,,,,,,,,
13,10426,1,Closed,Discrete,0.00000000000000000000,56.00000023841857910000,NO ,1,1,1,1,100.000,,,,,,,,,,,
14,10430,1,Closed,Discrete,0.00000000000000000000,47.99999892711639400000,NO ,1,1,1,1,100.000,,,,,,,,,,,
15,10432,1,Closed,Discrete,0.00000000000000000000,0.00000000000000000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
16,10441,1,Closed,Discrete,0.00000000000000000000,60.50000190734863280000,NO ,1,1,1,1,100.000,,,,,,,,,,,
17,10484,1,Closed,Discrete,0.00000000000000000000,31.00000023841857910000,NO ,1,1,1,1,100.000,,,,,,,,,,,
18,10598,1,Closed,Discrete,0.00000000000000000000,-28.00000011920928960000,NO ,1,1,1,1,100.000,,,,,,,,,,,
19,10707,1,Closed,Discrete,0.00000000000000000000,-324.00000095367431600000,NO ,1,1,1,1,100.000,,,,,,,,,,,
20,10717,1,Closed,Discrete,0.00000000000000000000,-1538.00001144409180000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
21,10734,1,Closed,Discrete,0.00000000000000000000,439.99996185302734400000,NO ,1,1,1,1,100.000,,,,,,,,,,,
22,10739,1,Closed,Discrete,0.00000000000000000000,-255.99999427795410200000,NO ,1,1,1,1,100.000,,,,,,,,,,,
23,10756,1,Closed,Discrete,0.00000000000000000000,-109.00000333786010700000,NO ,1,1,1,1,100.000,,,,,,,,,,,
24,10766,1,Closed,Discrete,0.00000000000000000000,-104.99998331069946300000,NO ,1,1,1,1,100.000,,,,,,,,,,,
25,10789,1,Closed,Discrete,0.00000000000000000000,-90.00000357627868650000,NO ,1,1,1,1,100.000,,,,,,,,,,,
26,10808,1,Closed,Discrete,0.00000000000000000000,-253.99999618530273400000,NO ,1,1,1,1,100.000,,,,,,,,,,,
27,10824,1,Closed,Discrete,0.00000000000000000000,-476.00002288818359400000,NO ,1,1,1,1,100.000,,,,,,,,,,,
28,10892,1,Closed,Discrete,0.00000000000000000000,0.00000000000000000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
29,10916,1,Closed,Discrete,0.00000000000000000000,-665.99998474121093800000,NO ,1,1,1,1,100.000,,,,,,,,,,,
30,10941,1,Closed,Discrete,0.00000000000000000000,0.00000000000000000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
31,10953,1,Closed,Discrete,0.00000000000000000000,46.00000083446502690000,NO ,1,1,1,1,100.000,,,,,,,,,,,
32,10970,1,Closed,Discrete,0.00000000000000000000,-201.99999809265136700000,NO ,1,1,1,1,100.000,,,,,,,,,,,
33,10986,1,Closed,Discrete,0.00000000000000000000,0.00000000000000000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
34,11000,1,Closed,Discrete,0.00000000000000000000,-776.00002288818359400000,NO ,1,1,1,1,100.000,,,,,,,,,,,
35,11011,1,Closed,Discrete,0.00000000000000000000,-1745.99990844726562000000,NO ,1,1,1,1,100.000,,,,,,,,,,,
36,11027,1,Closed,Discrete,0.00000000000000000000,-177.49999761581420900000,NO ,1,1,1,1,100.000,,,,,,,,,,,
37,11038,1,Closed,Discrete,0.00000000000000000000,-383.99999141693115200000,NO ,1,1,1,1,100.000,,,,,,,,,,,
38,11051,1,Closed,Discrete,0.00000000000000000000,-28.99999916553497310000,NO ,1,1,1,1,100.000,,,,,,,,,,,
